masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck17
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<473:38:06,  3.41s/it]
dA: 0.932; gA: 0.003;idtA: 0.030; ;dB: 0.519; gB: 0.015;cA: 0.080; cB: 0.000:   0%|          | 61/500000 [00:36<293:28:47,  2.11s/it]
dA: 0.809; gA: 0.003;idtA: 0.027; ;dB: 0.167; gB: 0.018;cA: 0.083; cB: 0.000:   0%|          | 61/500000 [00:36<293:28:47,  2.11s/it]
dA: 0.809; gA: 0.003;idtA: 0.027; ;dB: 0.167; gB: 0.018;cA: 0.083; cB: 0.000:   0%|          | 62/500000 [00:36<291:17:47,  2.10s/it]
dA: 0.917; gA: -0.004;idtA: 0.016; ;dB: 0.833; gB: -0.006;cA: 0.032; cB: 0.000:   0%|          | 62/500000 [00:36<291:17:47,  2.10s/it]
dA: 0.917; gA: -0.004;idtA: 0.016; ;dB: 0.833; gB: -0.006;cA: 0.032; cB: 0.000:   0%|          | 63/500000 [00:37<289:08:03,  2.08s/it]
dA: 0.948; gA: 0.008;idtA: 0.030; ;dB: 0.693; gB: 0.020;cA: 0.057; cB: 0.000:   0%|          | 63/500000 [00:37<289:08:03,  2.08s/it]  
dA: 0.948; gA: 0.008;idtA: 0.030; ;dB: 0.693; gB: 0.020;cA: 0.057; cB: 0.000:   0%|          | 64/500000 [00:37<286:59:39,  2.07s/it]
dA: 0.692; gA: 0.000;idtA: 0.027; ;dB: 0.405; gB: 0.001;cA: 0.079; cB: 0.000:   0%|          | 64/500000 [00:37<286:59:39,  2.07s/it]
dA: 0.692; gA: 0.000;idtA: 0.027; ;dB: 0.405; gB: 0.001;cA: 0.079; cB: 0.000:   0%|          | 65/500000 [00:38<284:52:31,  2.05s/it]
dA: 1.159; gA: 0.007;idtA: 0.023; ;dB: 0.393; gB: 0.018;cA: 0.051; cB: 0.000:   0%|          | 65/500000 [00:38<284:52:31,  2.05s/it]
dA: 1.159; gA: 0.007;idtA: 0.023; ;dB: 0.393; gB: 0.018;cA: 0.051; cB: 0.000:   0%|          | 66/500000 [00:38<282:46:45,  2.04s/it]
dA: 0.731; gA: -0.004;idtA: 0.026; ;dB: 0.348; gB: 0.021;cA: 0.062; cB: 0.000:   0%|          | 66/500000 [00:38<282:46:45,  2.04s/it]
dA: 0.731; gA: -0.004;idtA: 0.026; ;dB: 0.348; gB: 0.021;cA: 0.062; cB: 0.000:   0%|          | 67/500000 [00:39<280:42:10,  2.02s/it]
dA: 0.765; gA: 0.011;idtA: 0.017; ;dB: 0.299; gB: 0.012;cA: 0.037; cB: 0.000:   0%|          | 67/500000 [00:39<280:42:10,  2.02s/it] 
