masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck14
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 0.617; gA: 0.005;idtA: 0.028; ;dB: 0.157; gB: 0.010;cA: 0.064; cB: 0.063:   0%|          | 49/500000 [00:30<339:50:45,  2.45s/it]
dA: 0.732; gA: -0.000;idtA: 0.033; ;dB: 0.508; gB: 0.002;cA: 0.081; cB: 0.081:   0%|          | 49/500000 [00:30<339:50:45,  2.45s/it]
dA: 0.732; gA: -0.000;idtA: 0.033; ;dB: 0.508; gB: 0.002;cA: 0.081; cB: 0.081:   0%|          | 50/500000 [00:30<337:13:40,  2.43s/it]
dA: 0.715; gA: 0.010;idtA: 0.019; ;dB: 0.519; gB: 0.019;cA: 0.037; cB: 0.035:   0%|          | 50/500000 [00:30<337:13:40,  2.43s/it] 
dA: 0.715; gA: 0.010;idtA: 0.019; ;dB: 0.519; gB: 0.019;cA: 0.037; cB: 0.035:   0%|          | 51/500000 [00:31<334:37:19,  2.41s/it]
dA: 0.570; gA: 0.010;idtA: 0.030; ;dB: 0.204; gB: 0.017;cA: 0.062; cB: 0.048:   0%|          | 51/500000 [00:31<334:37:19,  2.41s/it]
dA: 0.570; gA: 0.010;idtA: 0.030; ;dB: 0.204; gB: 0.017;cA: 0.062; cB: 0.048:   0%|          | 52/500000 [00:32<332:02:46,  2.39s/it]
dA: 0.531; gA: 0.007;idtA: 0.025; ;dB: 0.869; gB: 0.007;cA: 0.041; cB: 0.039:   0%|          | 52/500000 [00:32<332:02:46,  2.39s/it]
dA: 0.531; gA: 0.007;idtA: 0.025; ;dB: 0.869; gB: 0.007;cA: 0.041; cB: 0.039:   0%|          | 53/500000 [00:32<329:29:53,  2.37s/it]
dA: 0.929; gA: 0.017;idtA: 0.031; ;dB: 0.443; gB: 0.012;cA: 0.063; cB: 0.059:   0%|          | 53/500000 [00:32<329:29:53,  2.37s/it]
dA: 0.929; gA: 0.017;idtA: 0.031; ;dB: 0.443; gB: 0.012;cA: 0.063; cB: 0.059:   0%|          | 54/500000 [00:33<326:58:15,  2.35s/it]
dA: 1.793; gA: -0.005;idtA: 0.023; ;dB: 0.091; gB: 0.007;cA: 0.057; cB: 0.043:   0%|          | 54/500000 [00:33<326:58:15,  2.35s/it]
dA: 1.793; gA: -0.005;idtA: 0.023; ;dB: 0.091; gB: 0.007;cA: 0.057; cB: 0.043:   0%|          | 55/500000 [00:33<324:28:07,  2.34s/it]
dA: 1.057; gA: 0.005;idtA: 0.024; ;dB: 0.287; gB: 0.010;cA: 0.045; cB: 0.038:   0%|          | 55/500000 [00:33<324:28:07,  2.34s/it] 
dA: 1.057; gA: 0.005;idtA: 0.024; ;dB: 0.287; gB: 0.010;cA: 0.045; cB: 0.038:   0%|          | 56/500000 [00:34<321:59:44,  2.32s/it]
dA: 0.603; gA: 0.004;idtA: 0.028; ;dB: 0.326; gB: 0.006;cA: 0.066; cB: 0.058:   0%|          | 56/500000 [00:34<321:59:44,  2.32s/it]
dA: 0.603; gA: 0.004;idtA: 0.028; ;dB: 0.326; gB: 0.006;cA: 0.066; cB: 0.058:   0%|          | 57/500000 [00:34<319:32:50,  2.30s/it]
dA: 0.769; gA: 0.010;idtA: 0.023; ;dB: 0.268; gB: 0.016;cA: 0.041; cB: 0.038:   0%|          | 57/500000 [00:34<319:32:50,  2.30s/it]
dA: 0.769; gA: 0.010;idtA: 0.023; ;dB: 0.268; gB: 0.016;cA: 0.041; cB: 0.038:   0%|          | 58/500000 [00:35<317:07:10,  2.28s/it]
dA: 1.119; gA: -0.000;idtA: 0.025; ;dB: 0.593; gB: 0.001;cA: 0.043; cB: 0.040:   0%|          | 58/500000 [00:35<317:07:10,  2.28s/it]
dA: 1.119; gA: -0.000;idtA: 0.025; ;dB: 0.593; gB: 0.001;cA: 0.043; cB: 0.040:   0%|          | 59/500000 [00:35<314:42:58,  2.27s/it]
dA: 1.285; gA: 0.044;idtA: 0.036; ;dB: 0.383; gB: 0.018;cA: 0.058; cB: 0.050:   0%|          | 59/500000 [00:35<314:42:58,  2.27s/it] 
