masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck9
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-hoover-modelspec/gen_00013.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<538:04:45,  3.87s/it]
dA: 1.725; gA: 0.008;idtA: 0.014; ;dB: 0.143; gB: 0.020;cA: 0.025; cB: 0.031:   0%|          | 59/500000 [00:44<343:40:43,  2.47s/it]
dA: 1.725; gA: 0.008;idtA: 0.014; ;dB: 0.143; gB: 0.020;cA: 0.025; cB: 0.031:   0%|          | 60/500000 [00:45<341:10:42,  2.46s/it]
dA: 4.215; gA: -0.008;idtA: 0.009; ;dB: 0.795; gB: 0.009;cA: 0.028; cB: 0.022:   0%|          | 60/500000 [00:45<341:10:42,  2.46s/it]
dA: 4.215; gA: -0.008;idtA: 0.009; ;dB: 0.795; gB: 0.009;cA: 0.028; cB: 0.022:   0%|          | 61/500000 [00:46<338:46:44,  2.44s/it]
dA: 4.001; gA: -0.010;idtA: 0.011; ;dB: 0.658; gB: 0.012;cA: 0.032; cB: 0.017:   0%|          | 61/500000 [00:46<338:46:44,  2.44s/it]
dA: 4.001; gA: -0.010;idtA: 0.011; ;dB: 0.658; gB: 0.012;cA: 0.032; cB: 0.017:   0%|          | 62/500000 [00:46<336:19:48,  2.42s/it]
dA: 2.581; gA: -0.004;idtA: 0.018; ;dB: 0.492; gB: 0.009;cA: 0.040; cB: 0.041:   0%|          | 62/500000 [00:46<336:19:48,  2.42s/it]
dA: 2.581; gA: -0.004;idtA: 0.018; ;dB: 0.492; gB: 0.009;cA: 0.040; cB: 0.041:   0%|          | 63/500000 [00:47<333:59:09,  2.41s/it]
dA: 1.739; gA: 0.009;idtA: 0.018; ;dB: 1.105; gB: 0.006;cA: 0.039; cB: 0.038:   0%|          | 63/500000 [00:47<333:59:09,  2.41s/it] 
dA: 1.739; gA: 0.009;idtA: 0.018; ;dB: 1.105; gB: 0.006;cA: 0.039; cB: 0.038:   0%|          | 64/500000 [00:48<331:39:54,  2.39s/it]
dA: 2.570; gA: 0.007;idtA: 0.033; ;dB: 0.126; gB: 0.013;cA: 0.085; cB: 0.049:   0%|          | 64/500000 [00:48<331:39:54,  2.39s/it]
dA: 2.570; gA: 0.007;idtA: 0.033; ;dB: 0.126; gB: 0.013;cA: 0.085; cB: 0.049:   0%|          | 65/500000 [00:49<329:17:09,  2.37s/it]
dA: 1.539; gA: 0.011;idtA: 0.015; ;dB: 0.212; gB: 0.012;cA: 0.054; cB: 0.035:   0%|          | 65/500000 [00:49<329:17:09,  2.37s/it]
dA: 1.539; gA: 0.011;idtA: 0.015; ;dB: 0.212; gB: 0.012;cA: 0.054; cB: 0.035:   0%|          | 66/500000 [00:49<327:00:52,  2.35s/it]
dA: 1.348; gA: 0.010;idtA: 0.012; ;dB: 0.178; gB: 0.015;cA: 0.055; cB: 0.033:   0%|          | 66/500000 [00:49<327:00:52,  2.35s/it]
dA: 1.348; gA: 0.010;idtA: 0.012; ;dB: 0.178; gB: 0.015;cA: 0.055; cB: 0.033:   0%|          | 67/500000 [00:50<324:40:43,  2.34s/it]
dA: 1.609; gA: 0.004;idtA: 0.015; ;dB: 0.304; gB: 0.011;cA: 0.038; cB: 0.032:   0%|          | 67/500000 [00:50<324:40:43,  2.34s/it]
