masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck23
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<472:35:23,  3.40s/it]
dA: 0.828; gA: 0.003;; ;dB: 0.282; gB: 0.005;cA: 0.077; cB: 0.086:   0%|          | 49/500000 [00:27<318:00:46,  2.29s/it]
dA: 0.988; gA: 0.005;; ;dB: 0.353; gB: -0.005;cA: 0.061; cB: 0.100:   0%|          | 49/500000 [00:27<318:00:46,  2.29s/it]
dA: 0.988; gA: 0.005;; ;dB: 0.353; gB: -0.005;cA: 0.061; cB: 0.100:   0%|          | 50/500000 [00:27<315:31:15,  2.27s/it]
dA: 0.952; gA: 0.001;; ;dB: 0.637; gB: 0.017;cA: 0.043; cB: 0.031:   0%|          | 50/500000 [00:27<315:31:15,  2.27s/it] 
dA: 0.952; gA: 0.001;; ;dB: 0.637; gB: 0.017;cA: 0.043; cB: 0.031:   0%|          | 51/500000 [00:28<313:02:50,  2.25s/it]
dA: 0.902; gA: 0.010;; ;dB: 0.250; gB: 0.013;cA: 0.066; cB: 0.044:   0%|          | 51/500000 [00:28<313:02:50,  2.25s/it]
dA: 0.902; gA: 0.010;; ;dB: 0.250; gB: 0.013;cA: 0.066; cB: 0.044:   0%|          | 52/500000 [00:28<310:36:15,  2.24s/it]
dA: 0.951; gA: -0.003;; ;dB: 1.029; gB: 0.012;cA: 0.037; cB: 0.032:   0%|          | 52/500000 [00:28<310:36:15,  2.24s/it]
dA: 0.951; gA: -0.003;; ;dB: 1.029; gB: 0.012;cA: 0.037; cB: 0.032:   0%|          | 53/500000 [00:29<308:10:54,  2.22s/it]
dA: 0.950; gA: 0.005;; ;dB: 0.558; gB: 0.005;cA: 0.089; cB: 0.085:   0%|          | 53/500000 [00:29<308:10:54,  2.22s/it] 
dA: 0.950; gA: 0.005;; ;dB: 0.558; gB: 0.005;cA: 0.089; cB: 0.085:   0%|          | 54/500000 [00:29<305:47:10,  2.20s/it]
dA: 0.621; gA: -0.006;; ;dB: 0.260; gB: 0.017;cA: 0.072; cB: 0.063:   0%|          | 54/500000 [00:29<305:47:10,  2.20s/it]
dA: 0.621; gA: -0.006;; ;dB: 0.260; gB: 0.017;cA: 0.072; cB: 0.063:   0%|          | 55/500000 [00:30<303:24:38,  2.18s/it]
dA: 1.012; gA: -0.001;; ;dB: 0.369; gB: 0.015;cA: 0.049; cB: 0.054:   0%|          | 55/500000 [00:30<303:24:38,  2.18s/it]
dA: 1.012; gA: -0.001;; ;dB: 0.369; gB: 0.015;cA: 0.049; cB: 0.054:   0%|          | 56/500000 [00:30<301:03:38,  2.17s/it]
dA: 0.687; gA: 0.007;; ;dB: 0.239; gB: 0.009;cA: 0.084; cB: 0.073:   0%|          | 56/500000 [00:30<301:03:38,  2.17s/it] 
dA: 0.687; gA: 0.007;; ;dB: 0.239; gB: 0.009;cA: 0.084; cB: 0.073:   0%|          | 57/500000 [00:31<298:43:56,  2.15s/it]
dA: 0.835; gA: -0.002;; ;dB: 0.229; gB: 0.016;cA: 0.066; cB: 0.057:   0%|          | 57/500000 [00:31<298:43:56,  2.15s/it]
dA: 0.835; gA: -0.002;; ;dB: 0.229; gB: 0.016;cA: 0.066; cB: 0.057:   0%|          | 58/500000 [00:31<296:25:44,  2.13s/it]
dA: 0.904; gA: -0.023;; ;dB: 0.747; gB: 0.002;cA: 0.063; cB: 0.080:   0%|          | 58/500000 [00:31<296:25:44,  2.13s/it]
dA: 0.904; gA: -0.023;; ;dB: 0.747; gB: 0.002;cA: 0.063; cB: 0.080:   0%|          | 59/500000 [00:32<294:08:51,  2.12s/it]
dA: 1.164; gA: 0.013;; ;dB: 0.582; gB: 0.018;cA: 0.083; cB: 0.087:   0%|          | 59/500000 [00:32<294:08:51,  2.12s/it] 
dA: 1.164; gA: 0.013;; ;dB: 0.582; gB: 0.018;cA: 0.083; cB: 0.087:   0%|          | 60/500000 [00:32<291:53:29,  2.10s/it]
dA: 0.925; gA: 0.003;; ;dB: 0.349; gB: 0.015;cA: 0.052; cB: 0.033:   0%|          | 60/500000 [00:32<291:53:29,  2.10s/it]
dA: 0.925; gA: 0.003;; ;dB: 0.349; gB: 0.015;cA: 0.052; cB: 0.033:   0%|          | 61/500000 [00:33<289:39:32,  2.09s/it]
dA: 0.822; gA: 0.001;; ;dB: 0.124; gB: 0.015;cA: 0.085; cB: 0.059:   0%|          | 61/500000 [00:33<289:39:32,  2.09s/it]
dA: 0.822; gA: 0.001;; ;dB: 0.124; gB: 0.015;cA: 0.085; cB: 0.059:   0%|          | 62/500000 [00:33<287:26:42,  2.07s/it]
dA: 0.853; gA: 0.000;; ;dB: 0.930; gB: 0.004;cA: 0.035; cB: 0.029:   0%|          | 62/500000 [00:33<287:26:42,  2.07s/it]
dA: 0.853; gA: 0.000;; ;dB: 0.930; gB: 0.004;cA: 0.035; cB: 0.029:   0%|          | 63/500000 [00:34<285:15:17,  2.05s/it]
dA: 1.087; gA: 0.001;; ;dB: 0.501; gB: 0.019;cA: 0.053; cB: 0.058:   0%|          | 63/500000 [00:34<285:15:17,  2.05s/it]
dA: 1.087; gA: 0.001;; ;dB: 0.501; gB: 0.019;cA: 0.053; cB: 0.058:   0%|          | 64/500000 [00:34<283:05:04,  2.04s/it]
dA: 0.831; gA: -0.006;; ;dB: 0.219; gB: 0.016;cA: 0.080; cB: 0.072:   0%|          | 64/500000 [00:34<283:05:04,  2.04s/it]
dA: 0.831; gA: -0.006;; ;dB: 0.219; gB: 0.016;cA: 0.080; cB: 0.072:   0%|          | 65/500000 [00:35<280:56:07,  2.02s/it]
dA: 1.197; gA: 0.008;; ;dB: 0.262; gB: 0.009;cA: 0.043; cB: 0.034:   0%|          | 65/500000 [00:35<280:56:07,  2.02s/it] 
dA: 1.197; gA: 0.008;; ;dB: 0.262; gB: 0.009;cA: 0.043; cB: 0.034:   0%|          | 66/500000 [00:35<278:48:33,  2.01s/it]
dA: 1.004; gA: -0.003;; ;dB: 0.105; gB: 0.014;cA: 0.055; cB: 0.098:   0%|          | 66/500000 [00:35<278:48:33,  2.01s/it]
dA: 1.004; gA: -0.003;; ;dB: 0.105; gB: 0.014;cA: 0.055; cB: 0.098:   0%|          | 67/500000 [00:36<276:42:32,  1.99s/it]
dA: 0.776; gA: 0.006;; ;dB: 0.276; gB: 0.020;cA: 0.044; cB: 0.033:   0%|          | 67/500000 [00:36<276:42:32,  1.99s/it] 
dA: 0.776; gA: 0.006;; ;dB: 0.276; gB: 0.020;cA: 0.044; cB: 0.033:   0%|          | 68/500000 [00:36<274:37:30,  1.98s/it]
