masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck11
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<545:30:48,  3.93s/it]
dA: 0.964; gA: 0.001;idtA: 0.019; ;dB: 0.368; gB: 0.018;cA: 0.063; cB: 0.105:   0%|          | 29/500000 [00:19<431:04:34,  3.10s/it]
dA: 0.964; gA: 0.001;idtA: 0.019; ;dB: 0.368; gB: 0.018;cA: 0.063; cB: 0.105:   0%|          | 30/500000 [00:20<427:36:24,  3.08s/it]
dA: 0.816; gA: 0.006;idtA: 0.030; ;dB: 0.456; gB: 0.029;cA: 0.074; cB: 0.082:   0%|          | 30/500000 [00:20<427:36:24,  3.08s/it]
dA: 0.816; gA: 0.006;idtA: 0.030; ;dB: 0.456; gB: 0.029;cA: 0.074; cB: 0.082:   0%|          | 31/500000 [00:21<424:07:55,  3.05s/it]
dA: 1.006; gA: -0.002;idtA: 0.020; ;dB: 0.631; gB: -0.004;cA: 0.036; cB: 0.036:   0%|          | 31/500000 [00:21<424:07:55,  3.05s/it]
dA: 1.006; gA: -0.002;idtA: 0.020; ;dB: 0.631; gB: -0.004;cA: 0.036; cB: 0.036:   0%|          | 32/500000 [00:21<420:41:10,  3.03s/it]
dA: 0.907; gA: 0.005;idtA: 0.024; ;dB: 0.287; gB: 0.009;cA: 0.063; cB: 0.046:   0%|          | 32/500000 [00:21<420:41:10,  3.03s/it]  
dA: 0.907; gA: 0.005;idtA: 0.024; ;dB: 0.287; gB: 0.009;cA: 0.063; cB: 0.046:   0%|          | 33/500000 [00:22<417:14:56,  3.00s/it]
dA: 0.844; gA: 0.019;idtA: 0.037; ;dB: 0.834; gB: 0.017;cA: 0.096; cB: 0.077:   0%|          | 33/500000 [00:22<417:14:56,  3.00s/it]
dA: 0.844; gA: 0.019;idtA: 0.037; ;dB: 0.834; gB: 0.017;cA: 0.096; cB: 0.077:   0%|          | 34/500000 [00:22<413:50:59,  2.98s/it]
dA: 0.866; gA: 0.014;idtA: 0.031; ;dB: 0.306; gB: 0.016;cA: 0.059; cB: 0.056:   0%|          | 34/500000 [00:22<413:50:59,  2.98s/it]
dA: 0.866; gA: 0.014;idtA: 0.031; ;dB: 0.306; gB: 0.016;cA: 0.059; cB: 0.056:   0%|          | 35/500000 [00:23<410:28:57,  2.96s/it]
dA: 0.860; gA: 0.004;idtA: 0.023; ;dB: 0.155; gB: 0.020;cA: 0.056; cB: 0.050:   0%|          | 35/500000 [00:23<410:28:57,  2.96s/it]
dA: 0.860; gA: 0.004;idtA: 0.023; ;dB: 0.155; gB: 0.020;cA: 0.056; cB: 0.050:   0%|          | 36/500000 [00:23<407:14:30,  2.93s/it]
dA: 0.973; gA: -0.000;idtA: 0.019; ;dB: 0.105; gB: 0.018;cA: 0.053; cB: 0.031:   0%|          | 36/500000 [00:23<407:14:30,  2.93s/it]
dA: 0.973; gA: -0.000;idtA: 0.019; ;dB: 0.105; gB: 0.018;cA: 0.053; cB: 0.031:   0%|          | 37/500000 [00:24<404:03:15,  2.91s/it]
dA: 0.990; gA: 0.008;idtA: 0.026; ;dB: 0.385; gB: 0.016;cA: 0.062; cB: 0.053:   0%|          | 37/500000 [00:24<404:03:15,  2.91s/it] 
dA: 0.990; gA: 0.008;idtA: 0.026; ;dB: 0.385; gB: 0.016;cA: 0.062; cB: 0.053:   0%|          | 38/500000 [00:25<400:48:29,  2.89s/it]
dA: 0.954; gA: -0.005;idtA: 0.039; ;dB: 0.257; gB: 0.020;cA: 0.105; cB: 0.142:   0%|          | 38/500000 [00:25<400:48:29,  2.89s/it]
dA: 0.954; gA: -0.005;idtA: 0.039; ;dB: 0.257; gB: 0.020;cA: 0.105; cB: 0.142:   0%|          | 39/500000 [00:25<397:34:20,  2.86s/it]
dA: 0.800; gA: 0.005;idtA: 0.037; ;dB: 0.171; gB: 0.010;cA: 0.083; cB: 0.071:   0%|          | 39/500000 [00:25<397:34:20,  2.86s/it] 
dA: 0.800; gA: 0.005;idtA: 0.037; ;dB: 0.171; gB: 0.010;cA: 0.083; cB: 0.071:   0%|          | 40/500000 [00:26<394:21:55,  2.84s/it]
dA: 0.722; gA: 0.003;idtA: 0.025; ;dB: 0.188; gB: 0.019;cA: 0.061; cB: 0.050:   0%|          | 40/500000 [00:26<394:21:55,  2.84s/it]
dA: 0.722; gA: 0.003;idtA: 0.025; ;dB: 0.188; gB: 0.019;cA: 0.061; cB: 0.050:   0%|          | 41/500000 [00:26<391:11:46,  2.82s/it]
dA: 0.890; gA: 0.009;idtA: 0.027; ;dB: 0.056; gB: 0.023;cA: 0.062; cB: 0.044:   0%|          | 41/500000 [00:26<391:11:46,  2.82s/it]
dA: 0.890; gA: 0.009;idtA: 0.027; ;dB: 0.056; gB: 0.023;cA: 0.062; cB: 0.044:   0%|          | 42/500000 [00:27<388:03:41,  2.79s/it]
dA: 0.945; gA: 0.002;idtA: 0.027; ;dB: 0.344; gB: -0.002;cA: 0.070; cB: 0.076:   0%|          | 42/500000 [00:27<388:03:41,  2.79s/it]
dA: 0.945; gA: 0.002;idtA: 0.027; ;dB: 0.344; gB: -0.002;cA: 0.070; cB: 0.076:   0%|          | 43/500000 [00:27<384:57:38,  2.77s/it]
dA: 0.849; gA: 0.011;idtA: 0.019; ;dB: 0.493; gB: 0.027;cA: 0.050; cB: 0.047:   0%|          | 43/500000 [00:27<384:57:38,  2.77s/it] 
dA: 0.849; gA: 0.011;idtA: 0.019; ;dB: 0.493; gB: 0.027;cA: 0.050; cB: 0.047:   0%|          | 44/500000 [00:28<381:53:26,  2.75s/it]
dA: 0.925; gA: 0.001;idtA: 0.025; ;dB: 0.189; gB: 0.010;cA: 0.082; cB: 0.099:   0%|          | 44/500000 [00:28<381:53:26,  2.75s/it]
dA: 0.925; gA: 0.001;idtA: 0.025; ;dB: 0.189; gB: 0.010;cA: 0.082; cB: 0.099:   0%|          | 45/500000 [00:29<378:50:40,  2.73s/it]
dA: 0.670; gA: 0.012;idtA: 0.027; ;dB: 0.490; gB: 0.010;cA: 0.078; cB: 0.046:   0%|          | 45/500000 [00:29<378:50:40,  2.73s/it]
dA: 0.670; gA: 0.012;idtA: 0.027; ;dB: 0.490; gB: 0.010;cA: 0.078; cB: 0.046:   0%|          | 46/500000 [00:29<375:49:57,  2.71s/it]
dA: 0.671; gA: 0.008;idtA: 0.030; ;dB: 0.175; gB: 0.041;cA: 0.105; cB: 0.135:   0%|          | 46/500000 [00:29<375:49:57,  2.71s/it]
dA: 0.671; gA: 0.008;idtA: 0.030; ;dB: 0.175; gB: 0.041;cA: 0.105; cB: 0.135:   0%|          | 47/500000 [00:30<372:50:56,  2.68s/it]
dA: 1.007; gA: 0.000;idtA: 0.017; ;dB: 0.280; gB: -0.002;cA: 0.056; cB: 0.036:   0%|          | 47/500000 [00:30<372:50:56,  2.68s/it]
dA: 1.007; gA: 0.000;idtA: 0.017; ;dB: 0.280; gB: -0.002;cA: 0.056; cB: 0.036:   0%|          | 48/500000 [00:30<369:53:34,  2.66s/it]
dA: 0.696; gA: -0.006;idtA: 0.025; ;dB: 0.186; gB: 0.009;cA: 0.079; cB: 0.101:   0%|          | 48/500000 [00:30<369:53:34,  2.66s/it]
dA: 0.696; gA: -0.006;idtA: 0.025; ;dB: 0.186; gB: 0.009;cA: 0.079; cB: 0.101:   0%|          | 49/500000 [00:31<366:58:15,  2.64s/it]
dA: 1.293; gA: 0.005;idtA: 0.030; ;dB: 0.712; gB: 0.013;cA: 0.059; cB: 0.121:   0%|          | 49/500000 [00:31<366:58:15,  2.64s/it] 
dA: 1.293; gA: 0.005;idtA: 0.030; ;dB: 0.712; gB: 0.013;cA: 0.059; cB: 0.121:   0%|          | 50/500000 [00:31<364:05:05,  2.62s/it]
dA: 0.984; gA: 0.000;idtA: 0.022; ;dB: 0.500; gB: 0.029;cA: 0.055; cB: 0.046:   0%|          | 50/500000 [00:31<364:05:05,  2.62s/it]
dA: 0.984; gA: 0.000;idtA: 0.022; ;dB: 0.500; gB: 0.029;cA: 0.055; cB: 0.046:   0%|          | 51/500000 [00:32<361:12:55,  2.60s/it]
dA: 1.111; gA: 0.018;idtA: 0.026; ;dB: 0.288; gB: 0.011;cA: 0.068; cB: 0.044:   0%|          | 51/500000 [00:32<361:12:55,  2.60s/it]
dA: 1.111; gA: 0.018;idtA: 0.026; ;dB: 0.288; gB: 0.011;cA: 0.068; cB: 0.044:   0%|          | 52/500000 [00:32<358:22:42,  2.58s/it]
dA: 1.040; gA: -0.003;idtA: 0.029; ;dB: 0.786; gB: -0.003;cA: 0.043; cB: 0.045:   0%|          | 52/500000 [00:32<358:22:42,  2.58s/it]
dA: 1.040; gA: -0.003;idtA: 0.029; ;dB: 0.786; gB: -0.003;cA: 0.043; cB: 0.045:   0%|          | 53/500000 [00:33<355:34:55,  2.56s/it]
dA: 0.956; gA: 0.002;idtA: 0.027; ;dB: 0.549; gB: 0.014;cA: 0.062; cB: 0.062:   0%|          | 53/500000 [00:33<355:34:55,  2.56s/it]  
dA: 0.956; gA: 0.002;idtA: 0.027; ;dB: 0.549; gB: 0.014;cA: 0.062; cB: 0.062:   0%|          | 54/500000 [00:34<352:49:21,  2.54s/it]
dA: 0.921; gA: -0.003;idtA: 0.021; ;dB: 0.679; gB: 0.000;cA: 0.052; cB: 0.071:   0%|          | 54/500000 [00:34<352:49:21,  2.54s/it]
dA: 0.921; gA: -0.003;idtA: 0.021; ;dB: 0.679; gB: 0.000;cA: 0.052; cB: 0.071:   0%|          | 55/500000 [00:34<350:09:26,  2.52s/it]
dA: 1.076; gA: 0.000;idtA: 0.053; ;dB: 0.635; gB: 0.008;cA: 0.082; cB: 0.084:   0%|          | 55/500000 [00:34<350:09:26,  2.52s/it] 
dA: 1.076; gA: 0.000;idtA: 0.053; ;dB: 0.635; gB: 0.008;cA: 0.082; cB: 0.084:   0%|          | 56/500000 [00:35<347:25:52,  2.50s/it]
dA: 0.784; gA: 0.002;idtA: 0.032; ;dB: 0.356; gB: 0.006;cA: 0.089; cB: 0.070:   0%|          | 56/500000 [00:35<347:25:52,  2.50s/it]
dA: 0.784; gA: 0.002;idtA: 0.032; ;dB: 0.356; gB: 0.006;cA: 0.089; cB: 0.070:   0%|          | 57/500000 [00:35<344:43:56,  2.48s/it]
dA: 0.903; gA: 0.005;idtA: 0.026; ;dB: 0.168; gB: 0.018;cA: 0.064; cB: 0.063:   0%|          | 57/500000 [00:35<344:43:56,  2.48s/it]
dA: 0.903; gA: 0.005;idtA: 0.026; ;dB: 0.168; gB: 0.018;cA: 0.064; cB: 0.063:   0%|          | 58/500000 [00:36<342:03:38,  2.46s/it]
dA: 1.005; gA: -0.014;idtA: 0.026; ;dB: 0.728; gB: 0.008;cA: 0.045; cB: 0.040:   0%|          | 58/500000 [00:36<342:03:38,  2.46s/it]
dA: 1.005; gA: -0.014;idtA: 0.026; ;dB: 0.728; gB: 0.008;cA: 0.045; cB: 0.040:   0%|          | 59/500000 [00:36<339:24:55,  2.44s/it]
dA: 0.936; gA: 0.004;idtA: 0.050; ;dB: 0.922; gB: 0.019;cA: 0.066; cB: 0.063:   0%|          | 59/500000 [00:36<339:24:55,  2.44s/it] 
dA: 0.936; gA: 0.004;idtA: 0.050; ;dB: 0.922; gB: 0.019;cA: 0.066; cB: 0.063:   0%|          | 60/500000 [00:37<336:50:28,  2.43s/it]
dA: 1.057; gA: 0.006;idtA: 0.021; ;dB: 0.780; gB: -0.001;cA: 0.051; cB: 0.043:   0%|          | 60/500000 [00:37<336:50:28,  2.43s/it]
dA: 1.057; gA: 0.006;idtA: 0.021; ;dB: 0.780; gB: -0.001;cA: 0.051; cB: 0.043:   0%|          | 61/500000 [00:38<334:16:27,  2.41s/it]
dA: 0.813; gA: 0.003;idtA: 0.029; ;dB: 0.606; gB: 0.024;cA: 0.087; cB: 0.087:   0%|          | 61/500000 [00:38<334:16:27,  2.41s/it] 
dA: 0.813; gA: 0.003;idtA: 0.029; ;dB: 0.606; gB: 0.024;cA: 0.087; cB: 0.087:   0%|          | 62/500000 [00:38<331:45:04,  2.39s/it]
dA: 0.926; gA: -0.001;idtA: 0.018; ;dB: 0.796; gB: 0.003;cA: 0.041; cB: 0.034:   0%|          | 62/500000 [00:38<331:45:04,  2.39s/it]
dA: 0.926; gA: -0.001;idtA: 0.018; ;dB: 0.796; gB: 0.003;cA: 0.041; cB: 0.034:   0%|          | 63/500000 [00:39<329:13:05,  2.37s/it]
dA: 0.851; gA: 0.003;idtA: 0.025; ;dB: 0.295; gB: 0.012;cA: 0.059; cB: 0.060:   0%|          | 63/500000 [00:39<329:13:05,  2.37s/it] 
dA: 0.851; gA: 0.003;idtA: 0.025; ;dB: 0.295; gB: 0.012;cA: 0.059; cB: 0.060:   0%|          | 64/500000 [00:39<326:44:47,  2.35s/it]
dA: 0.780; gA: 0.003;idtA: 0.028; ;dB: 0.178; gB: 0.017;cA: 0.095; cB: 0.087:   0%|          | 64/500000 [00:39<326:44:47,  2.35s/it]
dA: 0.780; gA: 0.003;idtA: 0.028; ;dB: 0.178; gB: 0.017;cA: 0.095; cB: 0.087:   0%|          | 65/500000 [00:40<324:16:26,  2.34s/it]
dA: 0.939; gA: -0.001;idtA: 0.024; ;dB: 0.265; gB: 0.010;cA: 0.050; cB: 0.043:   0%|          | 65/500000 [00:40<324:16:26,  2.34s/it]
dA: 0.939; gA: -0.001;idtA: 0.024; ;dB: 0.265; gB: 0.010;cA: 0.050; cB: 0.043:   0%|          | 66/500000 [00:40<321:47:34,  2.32s/it]
