masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck18
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<537:14:57,  3.87s/it]
dA: 0.995; gA: 0.002;idtA: 0.051; ;dB: 0.493; gB: 0.016;cA: 0.000; cB: 0.090:   0%|          | 54/500000 [00:32<346:45:18,  2.50s/it]
dA: 0.803; gA: 0.003;idtA: 0.029; ;dB: 0.535; gB: 0.012;cA: 0.000; cB: 0.049:   0%|          | 54/500000 [00:32<346:45:18,  2.50s/it]
dA: 0.803; gA: 0.003;idtA: 0.029; ;dB: 0.535; gB: 0.012;cA: 0.000; cB: 0.049:   0%|          | 55/500000 [00:33<344:02:30,  2.48s/it]
dA: 0.950; gA: -0.001;idtA: 0.031; ;dB: 0.409; gB: 0.008;cA: 0.000; cB: 0.058:   0%|          | 55/500000 [00:33<344:02:30,  2.48s/it]
dA: 0.950; gA: -0.001;idtA: 0.031; ;dB: 0.409; gB: 0.008;cA: 0.000; cB: 0.058:   0%|          | 56/500000 [00:33<341:21:19,  2.46s/it]
dA: 0.712; gA: 0.004;idtA: 0.032; ;dB: 0.245; gB: 0.007;cA: 0.000; cB: 0.062:   0%|          | 56/500000 [00:33<341:21:19,  2.46s/it] 
dA: 0.712; gA: 0.004;idtA: 0.032; ;dB: 0.245; gB: 0.007;cA: 0.000; cB: 0.062:   0%|          | 57/500000 [00:34<338:41:40,  2.44s/it]
dA: 0.935; gA: 0.008;idtA: 0.025; ;dB: 0.275; gB: 0.022;cA: 0.000; cB: 0.048:   0%|          | 57/500000 [00:34<338:41:40,  2.44s/it]
dA: 0.935; gA: 0.008;idtA: 0.025; ;dB: 0.275; gB: 0.022;cA: 0.000; cB: 0.048:   0%|          | 58/500000 [00:35<336:03:37,  2.42s/it]
dA: 1.193; gA: -0.005;idtA: 0.027; ;dB: 1.033; gB: 0.004;cA: 0.000; cB: 0.044:   0%|          | 58/500000 [00:35<336:03:37,  2.42s/it]
dA: 1.193; gA: -0.005;idtA: 0.027; ;dB: 1.033; gB: 0.004;cA: 0.000; cB: 0.044:   0%|          | 59/500000 [00:35<333:27:01,  2.40s/it]
dA: 0.915; gA: 0.013;idtA: 0.041; ;dB: 0.667; gB: -0.004;cA: 0.000; cB: 0.065:   0%|          | 59/500000 [00:35<333:27:01,  2.40s/it]
dA: 0.915; gA: 0.013;idtA: 0.041; ;dB: 0.667; gB: -0.004;cA: 0.000; cB: 0.065:   0%|          | 60/500000 [00:36<330:51:58,  2.38s/it]
dA: 1.013; gA: 0.003;idtA: 0.027; ;dB: 0.319; gB: 0.020;cA: 0.000; cB: 0.054:   0%|          | 60/500000 [00:36<330:51:58,  2.38s/it] 
dA: 1.013; gA: 0.003;idtA: 0.027; ;dB: 0.319; gB: 0.020;cA: 0.000; cB: 0.054:   0%|          | 61/500000 [00:36<328:18:34,  2.36s/it]
dA: 0.946; gA: 0.001;idtA: 0.039; ;dB: 0.229; gB: 0.014;cA: 0.000; cB: 0.062:   0%|          | 61/500000 [00:36<328:18:34,  2.36s/it]
dA: 0.946; gA: 0.001;idtA: 0.039; ;dB: 0.229; gB: 0.014;cA: 0.000; cB: 0.062:   0%|          | 62/500000 [00:37<325:46:55,  2.35s/it]
dA: 0.876; gA: 0.004;idtA: 0.020; ;dB: 0.301; gB: 0.002;cA: 0.000; cB: 0.033:   0%|          | 62/500000 [00:37<325:46:55,  2.35s/it]
dA: 0.876; gA: 0.004;idtA: 0.020; ;dB: 0.301; gB: 0.002;cA: 0.000; cB: 0.033:   0%|          | 63/500000 [00:37<323:16:53,  2.33s/it]
dA: 1.104; gA: -0.001;idtA: 0.039; ;dB: 0.179; gB: 0.016;cA: 0.000; cB: 0.081:   0%|          | 63/500000 [00:37<323:16:53,  2.33s/it]
dA: 1.104; gA: -0.001;idtA: 0.039; ;dB: 0.179; gB: 0.016;cA: 0.000; cB: 0.081:   0%|          | 64/500000 [00:38<320:48:07,  2.31s/it]
dA: 0.932; gA: 0.004;idtA: 0.033; ;dB: 0.274; gB: 0.024;cA: 0.000; cB: 0.070:   0%|          | 64/500000 [00:38<320:48:07,  2.31s/it] 
dA: 0.932; gA: 0.004;idtA: 0.033; ;dB: 0.274; gB: 0.024;cA: 0.000; cB: 0.070:   0%|          | 65/500000 [00:38<318:20:44,  2.29s/it]
dA: 0.914; gA: -0.002;idtA: 0.023; ;dB: 0.378; gB: 0.010;cA: 0.000; cB: 0.037:   0%|          | 65/500000 [00:38<318:20:44,  2.29s/it]
dA: 0.914; gA: -0.002;idtA: 0.023; ;dB: 0.378; gB: 0.010;cA: 0.000; cB: 0.037:   0%|          | 66/500000 [00:39<315:55:19,  2.27s/it]
dA: 0.895; gA: -0.002;idtA: 0.026; ;dB: 0.236; gB: 0.016;cA: 0.000; cB: 0.066:   0%|          | 66/500000 [00:39<315:55:19,  2.27s/it]
dA: 0.895; gA: -0.002;idtA: 0.026; ;dB: 0.236; gB: 0.016;cA: 0.000; cB: 0.066:   0%|          | 67/500000 [00:39<313:31:20,  2.26s/it]
dA: 0.653; gA: 0.015;idtA: 0.017; ;dB: 0.287; gB: 0.015;cA: 0.000; cB: 0.026:   0%|          | 67/500000 [00:39<313:31:20,  2.26s/it] 
