masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck10
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<518:00:09,  3.73s/it]
dA: 1.979; gA: 0.000;idtA: 0.025; ;dB: 0.958; gB: 0.009;cA: 0.037; cB: 0.037:   0%|          | 52/500000 [00:38<348:29:11,  2.51s/it]
dA: 1.979; gA: 0.000;idtA: 0.025; ;dB: 0.958; gB: 0.009;cA: 0.037; cB: 0.037:   0%|          | 53/500000 [00:39<345:57:27,  2.49s/it]
dA: 1.937; gA: -0.001;idtA: 0.043; ;dB: 0.655; gB: 0.009;cA: 0.061; cB: 0.072:   0%|          | 53/500000 [00:39<345:57:27,  2.49s/it]
dA: 1.937; gA: -0.001;idtA: 0.043; ;dB: 0.655; gB: 0.009;cA: 0.061; cB: 0.072:   0%|          | 54/500000 [00:40<343:26:22,  2.47s/it]
dA: 1.838; gA: 0.002;idtA: 0.018; ;dB: 0.314; gB: 0.009;cA: 0.031; cB: 0.036:   0%|          | 54/500000 [00:40<343:26:22,  2.47s/it] 
dA: 1.838; gA: 0.002;idtA: 0.018; ;dB: 0.314; gB: 0.009;cA: 0.031; cB: 0.036:   0%|          | 55/500000 [00:40<340:56:39,  2.46s/it]
dA: 1.984; gA: -0.002;idtA: 0.026; ;dB: 0.885; gB: 0.016;cA: 0.034; cB: 0.040:   0%|          | 55/500000 [00:40<340:56:39,  2.46s/it]
dA: 1.984; gA: -0.002;idtA: 0.026; ;dB: 0.885; gB: 0.016;cA: 0.034; cB: 0.040:   0%|          | 56/500000 [00:41<338:29:19,  2.44s/it]
dA: 1.904; gA: -0.001;idtA: 0.020; ;dB: 0.531; gB: 0.022;cA: 0.040; cB: 0.035:   0%|          | 56/500000 [00:41<338:29:19,  2.44s/it]
dA: 1.904; gA: -0.001;idtA: 0.020; ;dB: 0.531; gB: 0.022;cA: 0.040; cB: 0.035:   0%|          | 57/500000 [00:42<336:02:45,  2.42s/it]
dA: 7.396; gA: -0.005;idtA: 0.038; ;dB: 1.001; gB: -0.009;cA: 0.047; cB: 0.054:   0%|          | 57/500000 [00:42<336:02:45,  2.42s/it]
dA: 7.396; gA: -0.005;idtA: 0.038; ;dB: 1.001; gB: -0.009;cA: 0.047; cB: 0.054:   0%|          | 58/500000 [00:42<333:38:40,  2.40s/it]
dA: 2.656; gA: -0.000;idtA: 0.036; ;dB: 1.894; gB: 0.008;cA: 0.046; cB: 0.067:   0%|          | 58/500000 [00:42<333:38:40,  2.40s/it] 
dA: 2.656; gA: -0.000;idtA: 0.036; ;dB: 1.894; gB: 0.008;cA: 0.046; cB: 0.067:   0%|          | 59/500000 [00:43<331:14:58,  2.39s/it]
dA: 1.901; gA: -0.003;idtA: 0.059; ;dB: 0.726; gB: 0.008;cA: 0.096; cB: 0.101:   0%|          | 59/500000 [00:43<331:14:58,  2.39s/it]
dA: 1.901; gA: -0.003;idtA: 0.059; ;dB: 0.726; gB: 0.008;cA: 0.096; cB: 0.101:   0%|          | 60/500000 [00:44<328:52:55,  2.37s/it]
dA: 2.428; gA: -0.001;idtA: 0.027; ;dB: 0.274; gB: 0.011;cA: 0.037; cB: 0.068:   0%|          | 60/500000 [00:44<328:52:55,  2.37s/it]
dA: 2.428; gA: -0.001;idtA: 0.027; ;dB: 0.274; gB: 0.011;cA: 0.037; cB: 0.068:   0%|          | 61/500000 [00:44<326:36:17,  2.35s/it]
dA: 4.387; gA: -0.007;idtA: 0.011; ;dB: 0.562; gB: 0.013;cA: 0.031; cB: 0.020:   0%|          | 61/500000 [00:44<326:36:17,  2.35s/it]
dA: 4.387; gA: -0.007;idtA: 0.011; ;dB: 0.562; gB: 0.013;cA: 0.031; cB: 0.020:   0%|          | 62/500000 [00:45<324:16:48,  2.34s/it]
dA: 2.044; gA: -0.000;idtA: 0.014; ;dB: 0.630; gB: 0.010;cA: 0.036; cB: 0.032:   0%|          | 62/500000 [00:45<324:16:48,  2.34s/it]
dA: 2.044; gA: -0.000;idtA: 0.014; ;dB: 0.630; gB: 0.010;cA: 0.036; cB: 0.032:   0%|          | 63/500000 [00:46<321:58:59,  2.32s/it]
