masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck27
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:40:16,  3.51s/it]
dA: 0.400; gA: 0.032;holeA: 0.057; validA: 0.041;dB: 0.271; gB: 0.019;holeB: 0.054;; ;cA: 0.077; cB: 0.076:   0%|          | 38/500000 [00:24<360:52:16,  2.60s/it]
dA: 0.780; gA: 0.031;holeA: 0.122; validA: 0.060;dB: 0.444; gB: 0.028;holeB: 0.148;; ;cA: 0.151; cB: 0.156:   0%|          | 38/500000 [00:24<360:52:16,  2.60s/it]
dA: 0.780; gA: 0.031;holeA: 0.122; validA: 0.060;dB: 0.444; gB: 0.028;holeB: 0.148;; ;cA: 0.151; cB: 0.156:   0%|          | 39/500000 [00:25<358:02:52,  2.58s/it]
dA: 0.216; gA: 0.027;holeA: 0.072; validA: 0.031;dB: 0.443; gB: 0.014;holeB: 0.061;; ;cA: 0.064; cB: 0.066:   0%|          | 39/500000 [00:25<358:02:52,  2.58s/it]
dA: 0.216; gA: 0.027;holeA: 0.072; validA: 0.031;dB: 0.443; gB: 0.014;holeB: 0.061;; ;cA: 0.064; cB: 0.066:   0%|          | 40/500000 [00:25<355:15:41,  2.56s/it]
dA: 0.539; gA: -0.000;holeA: 0.064; validA: 0.030;dB: 0.476; gB: 0.006;holeB: 0.063;; ;cA: 0.069; cB: 0.069:   0%|          | 40/500000 [00:25<355:15:41,  2.56s/it]
dA: 0.539; gA: -0.000;holeA: 0.064; validA: 0.030;dB: 0.476; gB: 0.006;holeB: 0.063;; ;cA: 0.069; cB: 0.069:   0%|          | 41/500000 [00:26<352:29:38,  2.54s/it]
dA: 0.848; gA: 0.006;holeA: 0.043; validA: 0.028;dB: 0.064; gB: 0.012;holeB: 0.046;; ;cA: 0.055; cB: 0.054:   0%|          | 41/500000 [00:26<352:29:38,  2.54s/it] 
dA: 0.848; gA: 0.006;holeA: 0.043; validA: 0.028;dB: 0.064; gB: 0.012;holeB: 0.046;; ;cA: 0.055; cB: 0.054:   0%|          | 42/500000 [00:26<349:45:09,  2.52s/it]
dA: 0.632; gA: 0.014;holeA: 0.047; validA: 0.035;dB: 0.199; gB: 0.018;holeB: 0.058;; ;cA: 0.071; cB: 0.069:   0%|          | 42/500000 [00:26<349:45:09,  2.52s/it]
dA: 0.632; gA: 0.014;holeA: 0.047; validA: 0.035;dB: 0.199; gB: 0.018;holeB: 0.058;; ;cA: 0.071; cB: 0.069:   0%|          | 43/500000 [00:27<347:02:17,  2.50s/it]
dA: 1.018; gA: 0.003;holeA: 0.036; validA: 0.022;dB: 0.053; gB: 0.016;holeB: 0.036;; ;cA: 0.042; cB: 0.042:   0%|          | 43/500000 [00:27<347:02:17,  2.50s/it]
dA: 1.018; gA: 0.003;holeA: 0.036; validA: 0.022;dB: 0.053; gB: 0.016;holeB: 0.036;; ;cA: 0.042; cB: 0.042:   0%|          | 44/500000 [00:28<344:21:03,  2.48s/it]
dA: 0.724; gA: 0.018;holeA: 0.079; validA: 0.037;dB: 0.155; gB: 0.020;holeB: 0.072;; ;cA: 0.077; cB: 0.080:   0%|          | 44/500000 [00:28<344:21:03,  2.48s/it]
dA: 0.724; gA: 0.018;holeA: 0.079; validA: 0.037;dB: 0.155; gB: 0.020;holeB: 0.072;; ;cA: 0.077; cB: 0.080:   0%|          | 45/500000 [00:28<341:41:25,  2.46s/it]
dA: 0.712; gA: 0.023;holeA: 0.049; validA: 0.023;dB: 1.541; gB: 0.004;holeB: 0.029;; ;cA: 0.037; cB: 0.038:   0%|          | 45/500000 [00:28<341:41:25,  2.46s/it]
dA: 0.712; gA: 0.023;holeA: 0.049; validA: 0.023;dB: 1.541; gB: 0.004;holeB: 0.029;; ;cA: 0.037; cB: 0.038:   0%|          | 46/500000 [00:29<339:04:03,  2.44s/it]
dA: 0.399; gA: 0.034;holeA: 0.073; validA: 0.044;dB: 0.474; gB: 0.035;holeB: 0.088;; ;cA: 0.094; cB: 0.096:   0%|          | 46/500000 [00:29<339:04:03,  2.44s/it]
dA: 0.399; gA: 0.034;holeA: 0.073; validA: 0.044;dB: 0.474; gB: 0.035;holeB: 0.088;; ;cA: 0.094; cB: 0.096:   0%|          | 47/500000 [00:29<336:27:59,  2.42s/it]
dA: 0.789; gA: 0.004;holeA: 0.029; validA: 0.019;dB: 0.842; gB: -0.005;holeB: 0.026;; ;cA: 0.030; cB: 0.029:   0%|          | 47/500000 [00:29<336:27:59,  2.42s/it]
dA: 0.789; gA: 0.004;holeA: 0.029; validA: 0.019;dB: 0.842; gB: -0.005;holeB: 0.026;; ;cA: 0.030; cB: 0.029:   0%|          | 48/500000 [00:30<333:53:33,  2.40s/it]
dA: 0.574; gA: 0.016;holeA: 0.063; validA: 0.034;dB: 0.180; gB: 0.016;holeB: 0.062;; ;cA: 0.068; cB: 0.068:   0%|          | 48/500000 [00:30<333:53:33,  2.40s/it] 
dA: 0.574; gA: 0.016;holeA: 0.063; validA: 0.034;dB: 0.180; gB: 0.016;holeB: 0.062;; ;cA: 0.068; cB: 0.068:   0%|          | 49/500000 [00:30<331:20:25,  2.39s/it]
dA: 0.941; gA: 0.005;holeA: 0.086; validA: 0.030;dB: 0.293; gB: 0.006;holeB: 0.049;; ;cA: 0.071; cB: 0.058:   0%|          | 49/500000 [00:30<331:20:25,  2.39s/it]
dA: 0.941; gA: 0.005;holeA: 0.086; validA: 0.030;dB: 0.293; gB: 0.006;holeB: 0.049;; ;cA: 0.071; cB: 0.058:   0%|          | 50/500000 [00:31<328:48:46,  2.37s/it]
